Bitácora,Nro carga,Fecha de despacho,Hora de despacho,Mes,AÑO,Destino Agencia concat,PROVEEDOR,Patente vehículo,Patente rampla,Viajes,ENTREGA FINAL,Bultos despachados,Bultos empacados,Diferencia bultos,timestamp_actualizacion
48788,HKOOB37619667,17/08/2026,21:36:49,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,VRZL40,PXJD34,1,LO ESPEJO,1295,1295,0,2026-08-17 22:26:22.216550
120850,HKOOB37619659,17/08/2026,10:18:30,agosto,2026,PTO MONTT,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PGBY32,PWWC54,1,PTO MONTT,1755,1755,0,2026-08-17 22:26:22.216550
48760,HKOOB37619666,17/08/2026,18:17:27,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,VSRP19,JG5632,1,LO ESPEJO,1231,1231,0,2026-08-17 22:26:22.216550
120858,HKOOB37619662,17/08/2026,17:54:26,agosto,2026,ARICA,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PSLY22,HGKY40,1,ARICA,2050,2050,0,2026-08-17 22:26:22.216550
120856,HKOOB37619635,17/08/2026,14:18:05,agosto,2026,CONCEPCION,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PJKT50,PWXK75,1,CONCEPCION,1543,1687,-144,2026-08-17 22:26:22.216550
48743,HKOOB37619665,17/08/2026,13:45:45,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,DBLS59,PWVX27,1,LO ESPEJO,1241,1241,0,2026-08-17 22:26:22.216550
120855,HKOOB37619673,17/08/2026,13:35:39,agosto,2026,VINA DEL MAR,82623500-4/IDEAL S.A,VRZL40,KDGT92,1,VINA DEL MAR,1752,1752,0,2026-08-17 22:26:22.216550
120852,HKOOB37619658,17/08/2026,11:58:53,agosto,2026,COPIAPO,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PSLY27,PTYJ84,1,COPIAPO,1551,1551,0,2026-08-17 22:26:22.216550
120846,HKOOB37618269,15/08/2026,16:09:01,agosto,2026,LOS ANGELES,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,LTGY82,PWVG98,1,LOS ANGELES,1879,1879,0,2026-08-17 22:26:22.216550
120853,HKOOB37619637,17/08/2026,11:37:14,agosto,2026,TALCA,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PFBS12,PWZH30,1,TALCA,1691,1691,0,2026-08-17 22:26:22.216550
120851,HKOOB37619644,17/08/2026,09:33:56,agosto,2026,VALDIVIA,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PJJV10,KDGH62,1,VALDIVIA,1641,1641,0,2026-08-17 22:26:22.216550
48673,HKOOB37619435,15/08/2026,08:02:56,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,STJR25,JG5632,1,LO ESPEJO,1197,1197,0,2026-08-17 22:26:22.216550
120849,HKOOB37619656,15/08/2026,20:20:04,agosto,2026,OSORNO,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PFBS17,KYLH53,1,OSORNO,0,1387,-1387,2026-08-17 22:26:22.216550
48707,HKOOB37619664,15/08/2026,19:34:10,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,DBLS59,PXJD33,1,LO ESPEJO,1432,1432,0,2026-08-17 22:26:22.216550
48706,HKOOB37619663,15/08/2026,19:15:19,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,VRZL40,JG5632,1,LO ESPEJO,1200,1200,0,2026-08-17 22:26:22.216550
120848,CHKO383128 / HKOOB37618265,15/08/2026,18:21:47,agosto,2026,MELIPILLA,82623500-4/IDEAL S.A,STJR25,HXDF12,1,MELIPILLA,1165,1165,0,2026-08-17 22:26:22.216550
120847,HKOOB37618264,15/08/2026,17:17:51,agosto,2026,LA SERENA,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,LTGY83,PWWC54,1,LA SERENA,1274,1274,0,2026-08-17 22:26:22.216550
120828,HKOOB37613749,14/08/2026,17:14:04,agosto,2026,VINA DEL MAR,16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA,HVJX52,JP3260,1,VINA DEL MAR,1562,304,1258,2026-08-17 22:26:22.216550
48002,HKOOB37592381,10/08/2026,08:53:53,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,STJR25,KYPH94,1,LO ESPEJO,1376,0,1376,2026-08-17 22:26:22.216550
120800,HKOOB37608533,13/08/2026,04:50:12,agosto,2026,PTO MONTT,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PCLZ36,PWZH34,1,PTO MONTT,1707,0,1707,2026-08-17 22:26:22.216550
120857,HKOOB37619641 / HKOOB37633034,17/08/2026,18:52:39,agosto,2026,LA SERENA,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PCLZ36,PWZH34,1,LA SERENA,1844,1844,0,2026-08-17 22:26:22.216550
120859,HKOOB37619632,17/08/2026,19:07:23,agosto,2026,CHILLAN,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,LTGY83,PWWC54,1,CHILLAN,1444,1444,0,2026-08-17 22:26:22.216550
120860,HKOOB37619634,17/08/2026,20:18:49,agosto,2026,CONCEPCION,76746317-0/TRAILER LOGISTICS SPA,BJWL64,PXKH32,1,CONCEPCION,1958,2012,-54,2026-08-17 22:26:22.216550
120854,HKOOB37619631,17/08/2026,13:07:43,agosto,2026,TEMUCO,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,LXHJ99,PWXK76,1,TEMUCO,1709,1709,0,2026-08-17 22:26:22.216550
120839,HKOOB37618267,15/08/2026,03:54:58,agosto,2026,CHILLAN,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PJJV29,HGKF99,1,CHILLAN,1541,1541,0,2026-08-17 22:26:22.216550
120838,HKOOB37619431,15/08/2026,03:21:52,agosto,2026,VINA DEL MAR,16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA,LWBV80,HXGP47,1,VINA DEL MAR,1743,1743,0,2026-08-17 22:26:22.216550
48651,HKOOB37619434,15/08/2026,03:09:35,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,VRZL40,PWVX27,1,LO ESPEJO,1062,1062,0,2026-08-17 22:26:22.216550
120837,CHKO383088,15/08/2026,02:20:45,agosto,2026,IQUIQUE,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PJJV10,HGKF80,1,IQUIQUE,1714,1714,0,2026-08-17 22:26:22.216550
120836,HKOOB37618263,15/08/2026,02:05:52,agosto,2026,TEMUCO,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PSLY21,PWZH33,1,TEMUCO,1474,1474,0,2026-08-17 22:26:22.216550
120835,CHKO382961,15/08/2026,01:59:51,agosto,2026,VINA DEL MAR,82623500-4/IDEAL S.A,TVTD89,HXDF12,1,VINA DEL MAR,1483,1483,0,2026-08-17 22:26:22.216550
120834,HKOOB37618262,15/08/2026,01:12:52,agosto,2026,TALCA,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,LCTB56,PTYJ57,1,TALCA,1638,1638,0,2026-08-17 22:26:22.216550
120833,HKOOB37618333,15/08/2026,00:57:11,agosto,2026,PTO MONTT,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,RFZY99,PTYJ59,1,PTO MONTT,1862,1862,0,2026-08-17 22:26:22.216550
120832,HKOOB37618268,14/08/2026,21:08:55,agosto,2026,LOS ANGELES,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,LZRG89,PXJF25,1,LOS ANGELES,1860,1860,0,2026-08-17 22:26:22.216550
120831,HKOOB37609431,14/08/2026,20:16:03,agosto,2026,VINA DEL MAR,82623500-4/IDEAL S.A,TVTD89,PXJD34,1,VINA DEL MAR,1613,830,783,2026-08-17 22:26:22.216550
120830,HKOOB37618092,14/08/2026,20:00:48,agosto,2026,CONCEPCION,76746317-0/TRAILER LOGISTICS SPA,VJWL64,PXKH32,1,CONCEPCION,1947,1835,112,2026-08-17 22:26:22.216550
120829,HKOOB37618261,14/08/2026,18:37:43,agosto,2026,TALCA,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PFBS13,PWZH31,1,TALCA,1689,1689,0,2026-08-17 22:26:22.216550
48604,HKOOB37618197,14/08/2026,18:16:39,agosto,2026,EL PINAR,82623500-4/IDEAL S.A,RZVS88,JF4261,1,EL PINAR,807,807,0,2026-08-17 22:26:22.216550
48601,HKOOB37618196,14/08/2026,17:24:18,agosto,2026,EL PINAR,82623500-4/IDEAL S.A,DBLS59,JP3260,1,EL PINAR,1234,1234,0,2026-08-17 22:26:22.216550
48691,HKOOB37619437,15/08/2026,12:18:55,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,STJR25,PWVW35,1,LO ESPEJO,557,557,0,2026-08-17 22:26:22.216550
120844,HKOOB37618271,15/08/2026,12:31:39,agosto,2026,ANTOFAGASTA,76746317-0/TRAILER LOGISTICS SPA,VJWL65,PXKH30,1,ANTOFAGASTA,2191,2191,0,2026-08-17 22:26:22.216550
120845,HKOOB37619438,15/08/2026,14:01:30,agosto,2026,RANCAGUA,76252773-1/GARATE Y GARATE LIMITADA,DRPH69,JJ4819,1,RANCAGUA,1394,1394,0,2026-08-17 22:26:22.216550
120827,HKOOB37608536,14/08/2026,15:07:01,agosto,2026,TEMUCO,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,LCTB55,GRCF44,1,TEMUCO,1691,780,911,2026-08-17 22:26:22.216550
120815,HKOOB37608539,13/08/2026,21:49:30,agosto,2026,CONCEPCION,76746317-0/TRAILER LOGISTICS SPA,VJWL64,PXFJ76,1,CONCEPCION,1947,0,1947,2026-08-17 22:26:22.216550
120813,HKOOB37604923,13/08/2026,19:40:35,agosto,2026,CHILLAN,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,SPVR15,PTYJ58,1,CHILLAN,1350,0,1350,2026-08-17 22:26:22.216550
48550,CHKO382955,14/08/2026,07:54:23,agosto,2026,EL PINAR,82623500-4/IDEAL S.A,VRZL40,JG5630,1,EL PINAR,1032,1032,0,2026-08-17 22:26:22.216550
120825,HKOOB37616386,14/08/2026,13:03:01,agosto,2026,MELIPILLA,82623500-4/IDEAL S.A,VRZL40,JG5630,1,MELIPILLA,1129,1129,0,2026-08-17 22:26:22.216550
48583,HKOOB37613743,14/08/2026,12:28:34,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,TVTD89,JG5632,1,LO ESPEJO,1207,1207,0,2026-08-17 22:26:22.216550
120824,HKOOB37611601,14/08/2026,11:21:31,agosto,2026,TALCA,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PJKT50,PWXK75,1,TALCA,1704,528,1176,2026-08-17 22:26:22.216550
120798,HKOOB37609440,13/08/2026,03:13:45,agosto,2026,ANTOFAGASTA,77970090-9/TRANSPORTES DONA ISIDORA (LABBE),TGPH68,PXJD17,1,ANTOFAGASTA,2040,0,2040,2026-08-17 22:26:22.216550
48566,HKOOB37613742,14/08/2026,08:46:13,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,VSRP19,HXDF11,1,LO ESPEJO,1371,951,420,2026-08-17 22:26:22.216550
48562,HKOOB37613740,14/08/2026,08:22:30,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,STJR25,KYPH95,1,LO ESPEJO,1556,0,1556,2026-08-17 22:26:22.216550
48557,HKOOB37613741,14/08/2026,08:09:32,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,VRZL40,PWVX27,1,LO ESPEJO,1210,738,472,2026-08-17 22:26:22.216550
LAS,HKOOB37604927,14/08/2026,06:29:49,agosto,2026,CONCEPCION,82623500-4/IDEAL S.A,SIN PATENTE,SIN RAMPLA,1,CONCEPCION,0,0,0,2026-08-17 22:26:22.216550
120816,HKOOB37613748,14/08/2026,01:25:06,agosto,2026,VINA DEL MAR,82623500-4/IDEAL S.A,VSRP19,PXJD33,1,VINA DEL MAR,1414,0,1414,2026-08-17 22:26:22.216550
120822,HKOOB37613753,14/08/2026,05:39:36,agosto,2026,RANCAGUA,76252773-1/GARATE Y GARATE LIMITADA,DRPH69,JJ4819,1,RANCAGUA,1786,618,1168,2026-08-17 22:26:22.216550
120821,HKOOB37612680,14/08/2026,05:24:40,agosto,2026,COPIAPO,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PFBS17,KYLH53,1,COPIAPO,1783,150,1633,2026-08-17 22:26:22.216550
120820,HKOOB37608540,14/08/2026,04:59:56,agosto,2026,CONCEPCION,16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA,LWBV80,HXGP47,1,CONCEPCION,1677,110,1567,2026-08-17 22:26:22.216550
120819,HKOOB37611597,14/08/2026,03:46:52,agosto,2026,RUTA SOLITARIA 1059 LV,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,LCTB56,PTYJ57,1,RUTA SOLITARIA 1059 LV,1576,345,1231,2026-08-17 22:26:22.216550
120818,HKOOB37611595,14/08/2026,03:24:59,agosto,2026,LOS ANDES,77970090-9/TRANSPORTES DONA ISIDORA (LABBE),DRJD68,KYLZ75,1,LOS ANDES,1273,529,744,2026-08-17 22:26:22.216550
48530,HKOOB37608544,14/08/2026,03:15:24,agosto,2026,EL PINAR,82623500-4/IDEAL S.A,STJR25,JF4261,1,EL PINAR,1186,0,1186,2026-08-17 22:26:22.216550
48529,HKOOB37613739,14/08/2026,02:54:13,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,STJR25,HXDF11,1,LO ESPEJO,1232,0,1232,2026-08-17 22:26:22.216550
120817,HKOOB37611589,14/08/2026,01:45:12,agosto,2026,MELIPILLA,82623500-4/IDEAL S.A,STJR25,KYPH94,1,MELIPILLA,1540,81,1459,2026-08-17 22:26:22.216550
120826,HKOOB37613750,14/08/2026,13:35:18,agosto,2026,VINA DEL MAR,82623500-4/IDEAL S.A,STJR25,KYPH94,1,VINA DEL MAR,2007,1091,916,2026-08-17 22:26:22.216550
48522,HKOOB37613738,14/08/2026,01:12:09,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,STJR25,PWVW35,1,LO ESPEJO,1114,0,1114,2026-08-17 22:26:22.216550
120812,HKOOB37608537,13/08/2026,18:55:29,agosto,2026,LOS ANGELES,77970090-9/TRANSPORTES DONA ISIDORA (LABBE),GKZD53,PXHK38,1,LOS ANGELES,1754,0,1754,2026-08-17 22:26:22.216550
48519,HKOOB37599092,14/08/2026,00:32:20,agosto,2026,EL PINAR,82623500-4/IDEAL S.A,TVTD89,JG4930,1,EL PINAR,1212,0,1212,2026-08-17 22:26:22.216550
120811,HKOOB37608547,13/08/2026,16:33:51,agosto,2026,LA SERENA,16575553-7/GABRIEL ALEJANDRO ESTAY CARRAZANA,HVJX52,JP3260,1,LA SERENA,1849,0,1849,2026-08-17 22:26:22.216550
120810,HKOOB37609438,13/08/2026,12:41:17,agosto,2026,ANTOFAGASTA,76746317-0/TRAILER LOGISTICS SPA,VJWL66,PXKH30,1,ANTOFAGASTA,2696,0,2696,2026-08-17 22:26:22.216550
120809,HKOOB37604917,13/08/2026,12:23:14,agosto,2026,TEMUCO,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PJJV11,PTYJ59,1,TEMUCO,1736,0,1736,2026-08-17 22:26:22.216550
48446,HKOOB37609428,13/08/2026,12:01:23,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,VSRP19,HXDF11,1,LO ESPEJO,835,0,835,2026-08-17 22:26:22.216550
120808,HKOOB37608534,13/08/2026,11:58:05,agosto,2026,PTO MONTT,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PFBS12,PWZP17,1,PTO MONTT,2038,0,2038,2026-08-17 22:26:22.216550
120807,HKOOB37608535,13/08/2026,11:44:13,agosto,2026,OSORNO,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PSLY27,PWZP19,1,OSORNO,1580,0,1580,2026-08-17 22:26:22.216550
120806,HKOOB37608548,13/08/2026,11:17:15,agosto,2026,VALDIVIA,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PGKD18,PWZP17,1,VALDIVIA,1565,0,1565,2026-08-17 22:26:22.216550
120804,HKOOB37608538,13/08/2026,10:40:14,agosto,2026,CONCEPCION,77970090-9/TRANSPORTES DONA ISIDORA (LABBE),PXJK66,PXJK66,1,CONCEPCION,1881,0,1881,2026-08-17 22:26:22.216550
120805,HKOOB37604934,13/08/2026,10:15:48,agosto,2026,TALCA,77970090-9/TRANSPORTES DONA ISIDORA (LABBE),GXVX73,PXHB97,1,TALCA,1676,0,1676,2026-08-17 22:26:22.216550
48420,HKOOB37604911,13/08/2026,08:22:50,agosto,2026,EL PINAR,82623500-4/IDEAL S.A,VSRP19,JF4261,1,EL PINAR,1122,0,1122,2026-08-17 22:26:22.216550
LAS,HKOOB37592398,13/08/2026,06:43:06,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,SIN PATENTE,SIN RAMPLA,1,LO ESPEJO,367,0,367,2026-08-17 22:26:22.216550
120803,HKOOB37608550,13/08/2026,06:34:25,agosto,2026,ARICA,77970090-9/TRANSPORTES DONA ISIDORA (LABBE),VSDB35,PXKB54,1,ARICA,1671,0,1671,2026-08-17 22:26:22.216550
120802,HKOOB37608542,13/08/2026,06:09:30,agosto,2026,IQUIQUE,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PFBS11,KDGH62,1,IQUIQUE,1680,0,1680,2026-08-17 22:26:22.216550
120801,HKOOB37609437,13/08/2026,05:42:45,agosto,2026,RANCAGUA,76252773-1/GARATE Y GARATE LIMITADA,FHDT82,JJ4817,1,RANCAGUA,1490,0,1490,2026-08-17 22:26:22.216550
120797,HKOOB37604897,13/08/2026,05:08:24,agosto,2026,MELIPILLA,82623500-4/IDEAL S.A,STJR25,KYPH94,1,MELIPILLA,1453,0,1453,2026-08-17 22:26:22.216550
120796,HKOOB37604900,13/08/2026,05:04:35,agosto,2026,RANCAGUA,82623500-4/IDEAL S.A,VRZL40,PWVW35,1,RANCAGUA,1235,0,1235,2026-08-17 22:26:22.216550
120814,HKOOB37608546,13/08/2026,22:02:56,agosto,2026,LA SERENA,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PFBS13,PWXK76,1,LA SERENA,1617,0,1617,2026-08-17 22:26:22.216550
120840,HKOOB37618334,15/08/2026,06:01:43,agosto,2026,SAN FERNANDO,76252773-1/GARATE Y GARATE LIMITADA,FHDT82,JJ4817,1,SAN FERNANDO,1496,1496,0,2026-08-17 22:26:22.216550
120823,HKOOB37611598,14/08/2026,10:35:02,agosto,2026,CHILLAN,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,LXHJ99,PWSS29,1,CHILLAN,1831,1517,314,2026-08-17 22:26:22.216550
120841,HKOOB37619432,15/08/2026,09:30:47,agosto,2026,VINA DEL MAR,82623500-4/IDEAL S.A,VSRP19,KYPH94,1,VINA DEL MAR,1659,1659,0,2026-08-17 22:26:22.216550
120764,HKOOB37593197,11/08/2026,17:06:15,agosto,2026,LOS ANGELES,77970090-9/TRANSPORTES DONA ISIDORA (LABBE),BVWZ52,HGLP10,1,LOS ANGELES,1849,0,1849,2026-08-17 22:26:22.216550
120781,HKOOB37599113,12/08/2026,07:44:12,agosto,2026,LOS ANGELES,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,LCTB56,PTYJ57,1,LOS ANGELES,1669,0,1669,2026-08-17 22:26:22.216550
120780,HKOOB37599114,12/08/2026,08:15:05,agosto,2026,LOS ANGELES,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PFBS17,PFBS17,1,LOS ANGELES,1645,0,1645,2026-08-17 22:26:22.216550
120789,HKOOB37599101,12/08/2026,17:14:52,agosto,2026,TEMUCO,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,PJKT50,PWXK75,1,TEMUCO,1663,0,1663,2026-08-17 22:26:22.216550
48371,HKOOB37602136,13/08/2026,00:04:25,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,VRZL40,PWVX27,1,LO ESPEJO,1170,0,1170,2026-08-17 22:26:22.216550
120794,HKOOB37608023,12/08/2026,22:01:18,agosto,2026,SAN FERNANDO,76252773-1/GARATE Y GARATE LIMITADA,CZTY30,JH3200,1,SAN FERNANDO,1448,0,1448,2026-08-17 22:26:22.216550
120793,HKOOB37599106,12/08/2026,21:40:31,agosto,2026,CONCEPCION,76746317-0/TRAILER LOGISTICS SPA,VJWL64,PXKH32,1,CONCEPCION,2093,0,2093,2026-08-17 22:26:22.216550
120792,HKOOB37601796,12/08/2026,20:55:31,agosto,2026,LA SERENA,77970090-9/TRANSPORTES DONA ISIDORA (LABBE),TZSS95,PXZS31,1,LA SERENA,1948,0,1948,2026-08-17 22:26:22.216550
120791,HKOOB37599102,12/08/2026,20:19:18,agosto,2026,CHILLAN,77636200-K/TRANSPORTES SAN GABRIEL LTDA.,LXHJ99,KYRC26,1,CHILLAN,1630,0,1630,2026-08-17 22:26:22.216550
120790,HKOOB37599111,12/08/2026,19:03:06,agosto,2026,TALCA,77970090-9/TRANSPORTES DONA ISIDORA (LABBE),CTBC15,HDDC95,1,TALCA,1655,0,1655,2026-08-17 22:26:22.216550
48326,HKOOB37602133,12/08/2026,18:15:09,agosto,2026,LO ESPEJO,82623500-4/IDEAL S.A,TVTD89,PXJD33,1,LO ESPEJO,1354,0,1354,2026-08-17 22:26:22.216550
